userId,screenName,profileUrl,name,imgUrl,backgroundImg,bio,website,location,createdAt,followers_count,friendsCount,certified,query,timestamp
17698709,superscientific,https://twitter.com/superscientific,Danny Winget,http://pbs.twimg.com/profile_images/1114196142567370754/eG8DVJLt_normal.jpg,https://pbs.twimg.com/profile_banners/17698709/1493747823,Digital Content Creator. All Things Tech. Proud Father of 2. Sneakers. All Social // @superscientific // Business Inquiries email: superscientific@gmail.com,https://t.co/ArruXaOBRd,"Orlando, FL",Fri Nov 28 04:19:10 +0000 2008,107101,654,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
1321168639,TechNinjaSpeaks,https://twitter.com/TechNinjaSpeaks,Kevin Nether,http://pbs.twimg.com/profile_images/879380348626497536/nfW_56Mi_normal.jpg,https://pbs.twimg.com/profile_banners/1321168639/1494424888,"Working on work life balance, but it's too much work.

Kevin@techninjaspeaks.com.",https://t.co/RpRXVKfCLR,"Detroit, MI",Mon Apr 01 21:01:33 +0000 2013,51168,936,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
285416977,qbking77,https://twitter.com/qbking77,Tim Schofield,http://pbs.twimg.com/profile_images/662735882718318596/a9_rox5S_normal.jpg,https://pbs.twimg.com/profile_banners/285416977/1450825702,"Professional Content Creator. ""Your Tech Simplified"" on YouTube - Unbiased Tech Videos. Love to travel ✈️ Business email: tim@qbking77.com.",https://t.co/VS3s56NzZ6,"Chicago, IL",Thu Apr 21 03:32:06 +0000 2011,71834,409,,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
2462907158,OzzyManReviews,https://twitter.com/OzzyManReviews,Ozzy Man Reviews,http://pbs.twimg.com/profile_images/1146427374507974658/QYQ3O11B_normal.jpg,https://pbs.twimg.com/profile_banners/2462907158/1518686335,"Bloody review film, TV, wildlife, sport and absurd shit. No bullshit.",https://t.co/JKAOxtbgBK,"Perth, Oz",Fri Apr 25 08:34:55 +0000 2014,93336,1064,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
2864643278,piamuehlenbeck,https://twitter.com/piamuehlenbeck,Pia,http://pbs.twimg.com/profile_images/1039802792695590915/S8aEFS0__normal.jpg,https://pbs.twimg.com/profile_banners/2864643278/1544057725,"Law Grad, wife, content creator, and owner of SLINKII, a clothing label trying to clean up the planet.",https://t.co/FbHh6pPBZX,"Sydney, Australia",Sun Oct 19 10:52:34 +0000 2014,32892,747,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
3221935922,kanevato,https://twitter.com/kanevato,Kane Vato,http://pbs.twimg.com/profile_images/1195547259032571905/mrwv-yGI_normal.jpg,https://pbs.twimg.com/profile_banners/3221935922/1554350265,"Traveller, Content Creator, part of the Qantas family & Co-founder of SLINKII, a clothing label trying to clean up the ocean.",https://t.co/LdHhh3nS94,Australia,Thu May 21 04:03:07 +0000 2015,2118,400,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
106017042,JosiahBrooks,https://twitter.com/JosiahBrooks,Jazza,http://pbs.twimg.com/profile_images/973350024837873664/p7b00F-e_normal.jpg,https://pbs.twimg.com/profile_banners/106017042/1484262771,"I'm Josiah Brooks - Professional YouTuber, Television Presenter, Author, Animator, Artist, Entertainer and Dad! https://t.co/0w53I6RRun",https://t.co/gKfcPqMyaB,"Melbourne, Australia",Mon Jan 18 06:44:02 +0000 2010,152194,411,,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
145851433,C4ETech,https://twitter.com/C4ETech,C4ETech,http://pbs.twimg.com/profile_images/1117809421843877889/XBCPF0qn_normal.jpg,https://pbs.twimg.com/profile_banners/145851433/1498570493,"The official Twitter handle of C4ETech - A YouTube channel that aims to bring you the latest in tech, go ahead follow us for our take on Tech :)",https://t.co/QCY3B0xq2F,India,Thu May 20 01:31:15 +0000 2010,323715,62,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
1720701343,ZacksJerryRig,https://twitter.com/ZacksJerryRig,JerryRigEverything,http://pbs.twimg.com/profile_images/845556182924210177/mWDP3FeC_normal.jpg,https://pbs.twimg.com/profile_banners/1720701343/1550094133,I review technology from the inside.,https://t.co/Isn41wVcmm,,Mon Sep 02 00:29:04 +0000 2013,268328,293,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
154221292,Casey,https://twitter.com/Casey,Casey Neistat,http://pbs.twimg.com/profile_images/481123524329734146/jk4aTqws_normal.png,https://pbs.twimg.com/profile_banners/154221292/1403543694,family + work,https://t.co/G29ueAVHlb,nyc,Thu Jun 10 17:54:33 +0000 2010,2051697,2158,Certified,https://twitter.com/ASUS,2019-12-25T03:22:38.781Z
